datetime,latitude,longitude,altitude
2023-07-08T20:47:37.96875Z,34.93624,-105.22063,5150.3
2023-07-08T20:48:37.96875Z,34.93636,-105.21217,4765.4
2023-07-08T20:49:37.96875Z,34.93693,-105.20460,4388.3
2023-07-08T20:50:37.96875Z,34.93788,-105.19765,4018.6
2023-07-08T20:51:37.96875Z,34.93921,-105.19137,3655.9
2023-07-08T20:52:37.96875Z,34.94092,-105.18575,3300.0
2023-07-08T20:53:37.96875Z,34.94297,-105.18084,2950.6
2023-07-08T20:54:37.96875Z,34.94533,-105.17666,2607.3
2023-07-08T20:55:37.96875Z,34.94796,-105.17321,2269.9
2023-07-08T20:56:37.96875Z,34.95078,-105.17050,1938.1
2023-07-08T20:57:10.3125Z,34.95230,-105.16933,1762.2
